Model,Accuracy,Macro-F1,Micro-F1,Macro AUC-PR
DistilBERT Title,0.26625,0.2499078180512302,0.26625,0.25512523006481524
CNN,0.315,0.294,0.315,0.3248
GraphSAGE,0.3713,0.3588,0.3713,0.3872
Simple GNN+BERT,0.40375,0.40775495106226156,0.40375,0.4271416720635091
Cross-Attention GNN+BERT,0.405,0.41184699658221263,0.405,0.4324791435096496
